Country,Export,Import,col
CAFTA-DR,22042.7464642866,22620.2838671075,CC000099
European Union,196188.452003079,287693.986032944,00CC0099
Newly Industrialized Countries,104106.071733812,93794.7370595808,FFFF33BB
OPEC,64809.6221524661,116222.177426001,33660099
South/Central America,138749.777144793,120263.036287017,CC006699
