Country,Export,Import,col,order
CAFTA-DR,23614.9672913071,21897.8136322711,CC000099,1
European Union,209439.434841017,313606.894980366,00CC0099,2
Newly Industrialized Countries,106738.438838971,98430.5050474773,FFFF33BB,3
OPEC,61488.1907019067,105166.864544795,33660099,4
South/Central America,139587.852140266,114258.19033995,CC006699,5
